epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,1185.28,1.34235,0.87241,1.04582,0.9729,0.96062,0.98868,0.5735,1.45382,1.30141,1.11681,0.000533773,0.000533773,0.000533773
105,1196.78,1.32161,0.90247,1.05779,0.9729,0.96062,0.98868,0.5735,1.45382,1.30141,1.11681,0.000522771,0.000522771,0.000522771
106,1208.46,1.42273,0.88433,1.06085,0.9729,0.96062,0.98868,0.5735,1.45382,1.30141,1.11681,0.000511769,0.000511769,0.000511769
107,1220.07,1.44848,0.96769,1.11227,0.9729,0.96062,0.98868,0.5735,1.45382,1.30141,1.11681,0.000500767,0.000500767,0.000500767
108,1231.47,1.43,0.93001,1.09863,0.96864,0.9645,0.98872,0.5979,1.41994,1.22943,1.0875,0.000489765,0.000489765,0.000489765
109,1242.76,1.46048,0.88898,1.0787,0.96864,0.9645,0.98872,0.5979,1.41994,1.22943,1.0875,0.000478762,0.000478762,0.000478762
110,1254.06,1.36896,0.94618,1.06754,0.96864,0.9645,0.98872,0.5979,1.41994,1.22943,1.0875,0.00046776,0.00046776,0.00046776
111,1265.39,1.25602,0.84403,1.04478,0.96864,0.9645,0.98872,0.5979,1.41994,1.22943,1.0875,0.000456758,0.000456758,0.000456758
112,1276.5,1.4341,0.99579,1.14746,0.97463,0.96811,0.99094,0.62225,1.33794,1.18814,1.0504,0.000445756,0.000445756,0.000445756
113,1288.06,1.31102,0.8668,1.03931,0.97463,0.96811,0.99094,0.62225,1.33794,1.18814,1.0504,0.000434754,0.000434754,0.000434754
114,1299.39,1.45461,0.89727,1.04768,0.97463,0.96811,0.99094,0.62225,1.33794,1.18814,1.0504,0.000423751,0.000423751,0.000423751
115,1310.44,1.27945,0.98457,1.07128,0.97463,0.96811,0.99094,0.62225,1.33794,1.18814,1.0504,0.000412749,0.000412749,0.000412749
116,1322.11,1.30311,0.91217,1.05752,0.97299,0.96877,0.99092,0.65163,1.25353,1.16771,1.02729,0.000401747,0.000401747,0.000401747
117,1333.6,1.34677,0.88411,1.0353,0.97299,0.96877,0.99092,0.65163,1.25353,1.16771,1.02729,0.000390745,0.000390745,0.000390745
118,1345.25,1.32419,0.85849,1.01899,0.97299,0.96877,0.99092,0.65163,1.25353,1.16771,1.02729,0.000379743,0.000379743,0.000379743
119,1356.74,1.29963,0.87419,1.06035,0.97299,0.96877,0.99092,0.65163,1.25353,1.16771,1.02729,0.00036874,0.00036874,0.00036874
120,1368.2,1.43449,0.90141,1.02549,0.97759,0.97753,0.99069,0.63704,1.27553,1.15331,1.04524,0.000357738,0.000357738,0.000357738
121,1379.69,1.33756,0.86488,1.03804,0.97759,0.97753,0.99069,0.63704,1.27553,1.15331,1.04524,0.000346736,0.000346736,0.000346736
122,1391.2,1.34255,0.84884,1.00469,0.97759,0.97753,0.99069,0.63704,1.27553,1.15331,1.04524,0.000335734,0.000335734,0.000335734
123,1402.91,1.40153,0.90959,1.01212,0.97759,0.97753,0.99069,0.63704,1.27553,1.15331,1.04524,0.000324732,0.000324732,0.000324732
124,1414.46,1.41378,0.87966,1.10321,0.97406,0.98128,0.99294,0.6428,1.27032,1.06764,1.04387,0.000313729,0.000313729,0.000313729
125,1426.16,1.25989,0.79054,0.99245,0.97406,0.98128,0.99294,0.6428,1.27032,1.06764,1.04387,0.000302727,0.000302727,0.000302727
126,1437.88,1.25769,0.80379,1.00302,0.97406,0.98128,0.99294,0.6428,1.27032,1.06764,1.04387,0.000291725,0.000291725,0.000291725
127,1449.43,1.35081,0.84127,1.02298,0.97406,0.98128,0.99294,0.6428,1.27032,1.06764,1.04387,0.000280723,0.000280723,0.000280723
128,1460.69,1.33139,0.87896,1.0892,0.97883,0.98122,0.99301,0.66127,1.20685,0.9667,1.01754,0.000269721,0.000269721,0.000269721
129,1472.22,1.34489,0.80675,1.0275,0.97883,0.98122,0.99301,0.66127,1.20685,0.9667,1.01754,0.000258718,0.000258718,0.000258718
130,1483.77,1.30414,0.82401,1.02046,0.97883,0.98122,0.99301,0.66127,1.20685,0.9667,1.01754,0.000247716,0.000247716,0.000247716
131,1495.26,1.27566,0.82173,1.02661,0.97883,0.98122,0.99301,0.66127,1.20685,0.9667,1.01754,0.000236714,0.000236714,0.000236714
132,1506.78,1.26998,0.80424,1.03025,0.98276,0.97811,0.99347,0.65764,1.1958,0.90229,1.0108,0.000225712,0.000225712,0.000225712
133,1518.6,1.32171,0.80418,1.01946,0.98276,0.97811,0.99347,0.65764,1.1958,0.90229,1.0108,0.00021471,0.00021471,0.00021471
134,1530.31,1.23399,0.78841,1.0104,0.98276,0.97811,0.99347,0.65764,1.1958,0.90229,1.0108,0.000203707,0.000203707,0.000203707
135,1542.05,1.3092,0.80883,1.01445,0.98276,0.97811,0.99347,0.65764,1.1958,0.90229,1.0108,0.000192705,0.000192705,0.000192705
136,1553.69,1.34826,0.84451,1.02584,0.98355,0.97454,0.99378,0.65809,1.20202,0.86322,1.01154,0.000181703,0.000181703,0.000181703
137,1565.23,1.2017,0.79823,1.00025,0.98355,0.97454,0.99378,0.65809,1.20202,0.86322,1.01154,0.000170701,0.000170701,0.000170701
138,1576.76,1.21805,0.80522,1.01311,0.98355,0.97454,0.99378,0.65809,1.20202,0.86322,1.01154,0.000159699,0.000159699,0.000159699
139,1588.3,1.20859,0.78401,1.0376,0.98355,0.97454,0.99378,0.65809,1.20202,0.86322,1.01154,0.000148696,0.000148696,0.000148696
140,1599.72,1.22558,0.87025,1.06583,0.97492,0.97665,0.99367,0.66432,1.20048,0.84077,1.01215,0.000137694,0.000137694,0.000137694
141,1610.63,1.41484,1.01557,1.10463,0.97492,0.97665,0.99367,0.66432,1.20048,0.84077,1.01215,0.000126692,0.000126692,0.000126692
142,1621.56,1.31808,0.99993,1.04736,0.97492,0.97665,0.99367,0.66432,1.20048,0.84077,1.01215,0.00011569,0.00011569,0.00011569
143,1632.49,1.40179,1.06471,1.12621,0.97492,0.97665,0.99367,0.66432,1.20048,0.84077,1.01215,0.000104688,0.000104688,0.000104688
144,1643.42,1.28419,0.97139,1.06783,0.97705,0.97151,0.99391,0.66658,1.1945,0.81938,1.00882,9.36854e-05,9.36854e-05,9.36854e-05
145,1654.29,1.28543,0.99822,1.05353,0.97705,0.97151,0.99391,0.66658,1.1945,0.81938,1.00882,8.26832e-05,8.26832e-05,8.26832e-05
146,1665.27,1.3412,1.03104,1.07108,0.97705,0.97151,0.99391,0.66658,1.1945,0.81938,1.00882,7.1681e-05,7.1681e-05,7.1681e-05
147,1676.08,1.32683,1.05637,1.02198,0.97705,0.97151,0.99391,0.66658,1.1945,0.81938,1.00882,6.06788e-05,6.06788e-05,6.06788e-05
148,1687.17,1.29023,0.9911,1.08382,0.98367,0.97391,0.99373,0.66995,1.18877,0.80468,1.00582,4.96766e-05,4.96766e-05,4.96766e-05
149,1698.16,1.28138,0.96915,1.07308,0.98367,0.97391,0.99373,0.66995,1.18877,0.80468,1.00582,3.86744e-05,3.86744e-05,3.86744e-05
150,1709.1,1.29256,0.98158,1.03512,0.98367,0.97391,0.99373,0.66995,1.18877,0.80468,1.00582,2.76722e-05,2.76722e-05,2.76722e-05
